from,to,open,close,min,max,volume
1730317800,1730317920,166.547,166.54,166.5315,166.5555,311
1730317920,1730318040,166.5405,166.529,166.5285,166.545,211
1730318040,1730318160,166.53,166.4935,166.4865,166.5405,375
1730318160,1730318280,166.494,166.4895,166.4725,166.499,439
1730318280,1730318400,166.49,166.4915,166.4695,166.495,488
1730318400,1730318520,166.491,166.484,166.441,166.513,814
1730318520,1730318640,166.4825,166.524,166.4825,166.531,509
1730318640,1730318760,166.5235,166.508,166.503,166.5535,563
1730318760,1730318880,166.507,166.5425,166.507,166.5465,471
1730318880,1730319000,166.5415,166.549,166.5415,166.556,354
1730319000,1730319120,166.5495,166.5355,166.533,166.557,161
1730319120,1730319240,166.5355,166.507,166.505,166.5355,298
1730319240,1730319360,166.5075,166.515,166.506,166.5235,202
1730319360,1730319480,166.514,166.5225,166.509,166.5255,249
1730319480,1730319600,166.52,166.5065,166.5025,166.52,177
1730319600,1730319720,166.506,166.518,166.502,166.5185,125
1730319720,1730319840,166.518,166.5215,166.5115,166.5245,150
1730319840,1730319960,166.521,166.4995,166.499,166.521,222
1730319960,1730320080,166.5,166.5085,166.4985,166.51,234
1730320080,1730320200,166.509,166.5285,166.507,166.529,204
1730320200,1730320320,166.5285,166.5365,166.5205,166.541,327
1730320320,1730320440,166.536,166.527,166.524,166.5405,256
1730320440,1730320560,166.5255,166.538,166.5215,166.545,288
1730320560,1730320680,166.538,166.521,166.512,166.539,208
1730320680,1730320800,166.5215,166.5405,166.5205,166.5435,320
1730320800,1730320920,166.5405,166.562,166.5405,166.571,316
1730320920,1730321040,166.5625,166.5365,166.5305,166.568,299
1730321040,1730321160,166.536,166.5305,166.5305,166.5485,225
1730321160,1730321280,166.53,166.5305,166.5165,166.5335,183
1730321280,1730321400,166.531,166.517,166.512,166.5315,253
1730321400,1730321520,166.5175,166.5325,166.516,166.5345,306
1730321520,1730321640,166.533,166.5265,166.526,166.543,372
1730321640,1730321760,166.527,166.544,166.526,166.5605,274
1730321760,1730321880,166.5435,166.556,166.5405,166.562,253
1730321880,1730322000,166.5565,166.546,166.545,166.5625,250
1730322000,1730322120,166.546,166.546,166.546,166.546,0
1730322120,1730322240,166.546,166.546,166.546,166.546,0
1730322240,1730322360,166.546,166.5215,166.5215,166.5555,4
1730322360,1730322480,166.5215,166.539,166.5215,166.5535,35
1730322480,1730322600,166.5385,166.5485,166.5385,166.551,16
1730322600,1730322720,166.548,166.547,166.5425,166.556,28
1730322720,1730322840,166.547,166.562,166.5455,166.562,2
1730322840,1730322960,166.562,166.56,166.56,166.563,3
1730322960,1730323080,166.56,166.547,166.547,166.56,3
1730323080,1730323200,166.547,166.5475,166.547,166.5485,4
1730323200,1730323320,166.5475,166.537,166.53,166.5585,19
1730323320,1730323440,166.537,166.5185,166.518,166.545,22
1730323440,1730323560,166.518,166.5225,166.518,166.5365,32
1730323560,1730323680,166.5225,166.5105,166.504,166.54,101
1730323680,1730323800,166.5105,166.52,166.508,166.521,21
1730323800,1730323920,166.5195,166.5125,166.5065,166.5195,52
1730323920,1730324040,166.513,166.401,166.3965,166.513,123
1730324040,1730324160,166.399,166.4675,166.399,166.4755,87
1730324160,1730324280,166.4675,166.468,166.457,166.491,145
1730324280,1730324400,166.4685,166.4785,166.4635,166.48,108
1730324400,1730324520,166.4785,166.454,166.454,166.483,159
1730324520,1730324640,166.453,166.463,166.451,166.4655,85
1730324640,1730324760,166.463,166.462,166.4565,166.467,146
1730324760,1730324880,166.4625,166.459,166.458,166.464,113
1730324880,1730325000,166.459,166.453,166.4505,166.463,78
1730325000,1730325120,166.453,166.457,166.4525,166.4625,144
1730325120,1730325240,166.4565,166.4585,166.452,166.459,81
1730325240,1730325360,166.4585,166.4735,166.458,166.485,15
1730325360,1730325480,166.4735,166.4795,166.456,166.4795,93
1730325480,1730325600,166.4795,166.498,166.479,166.4985,77
1730325600,1730325720,166.497,166.473,166.4535,166.5135,302
1730325720,1730325840,166.473,166.441,166.4335,166.476,125
1730325840,1730325960,166.438,166.4795,166.4345,166.492,200
1730325960,1730326080,166.4825,166.4835,166.468,166.5,124
1730326080,1730326200,166.4835,166.457,166.446,166.491,114
1730326200,1730326320,166.4585,166.4495,166.4355,166.4595,153
1730326320,1730326440,166.449,166.461,166.4325,166.4685,168
1730326440,1730326560,166.461,166.466,166.4495,166.4715,95
1730326560,1730326680,166.466,166.47,166.4605,166.4815,92
1730326680,1730326800,166.471,166.4195,166.419,166.476,178
1730326800,1730326920,166.419,166.437,166.3975,166.455,209
