from,to,open,close,min,max,volume
1726610640,1726610760,187.3125,187.307,187.304,187.32,24
1726610760,1726610880,187.306,187.2445,187.2185,187.3135,81
1726610880,1726611000,187.2445,187.2375,187.2375,187.246,47
1726611000,1726611120,187.2375,187.258,187.2355,187.2595,33
1726611120,1726611240,187.258,187.2585,187.2445,187.264,49
1726611240,1726611360,187.2585,187.2475,187.246,187.2655,47
1726611360,1726611480,187.2445,187.2435,187.243,187.2575,30
1726611480,1726611600,187.2435,187.239,187.239,187.2435,8
1726611600,1726611720,187.239,187.239,187.2385,187.2425,7
1726611720,1726611840,187.239,187.2435,187.239,187.248,16
1726611840,1726611960,187.2435,187.2455,187.2385,187.2465,11
1726611960,1726612080,187.2455,187.2135,187.209,187.248,40
1726612080,1726612200,187.2135,187.202,187.2015,187.2495,34
1726612200,1726612320,187.205,187.1705,187.1705,187.214,34
1726612320,1726612440,187.1695,187.1955,187.1505,187.1995,81
1726612440,1726612560,187.1955,187.1595,187.1595,187.196,61
1726612560,1726612680,187.1595,187.1085,187.1085,187.1715,40
1726612680,1726612800,187.1085,187.1135,187.1005,187.138,88
1726612800,1726612920,187.1135,187.108,187.0955,187.1245,64
1726612920,1726613040,187.109,187.1095,187.102,187.1205,34
1726613040,1726613160,187.104,187.0195,187.0055,187.107,100
1726613160,1726613280,187.0095,187.03,187.0075,187.053,79
1726613280,1726613400,187.038,187.034,187.029,187.043,33
1726613400,1726613520,187.0325,186.933,186.93,187.0365,110
1726613520,1726613640,186.9305,186.937,186.92,186.9575,82
1726613640,1726613760,186.937,186.9355,186.927,186.9985,118
1726613760,1726613880,186.933,186.959,186.9255,186.965,63
1726613880,1726614000,186.959,186.9595,186.9455,186.9695,52
1726614000,1726614120,186.955,186.9675,186.955,187.035,136
1726614120,1726614240,186.967,186.9675,186.951,186.9765,79
1726614240,1726614360,186.9675,186.9375,186.9235,186.9765,83
1726614360,1726614480,186.9445,186.9155,186.904,186.948,94
1726614480,1726614600,186.9155,186.9075,186.8945,186.9285,142
1726614600,1726614720,186.9075,186.9205,186.9045,186.9585,116
1726614720,1726614840,186.918,186.8795,186.8575,186.9185,119
1726614840,1726614960,186.8795,186.9225,186.8765,186.938,96
1726614960,1726615080,186.9225,186.865,186.8605,186.9225,84
1726615080,1726615200,186.8655,186.8805,186.8655,186.911,87
1726615200,1726615320,186.8855,186.9705,186.8855,186.9785,77
1726615320,1726615440,186.9705,186.943,186.942,186.9835,97
1726615440,1726615560,186.943,186.919,186.9045,186.961,61
1726615560,1726615680,186.9175,186.961,186.9025,186.968,92
1726615680,1726615800,186.961,186.95,186.907,186.961,92
1726615800,1726615920,186.947,186.9475,186.933,186.988,110
1726615920,1726616040,186.9475,186.871,186.857,186.9475,191
1726616040,1726616160,186.8705,186.9095,186.8675,186.923,123
1726616160,1726616280,186.9095,186.8795,186.876,186.9205,72
1726616280,1726616400,186.8795,186.8525,186.851,186.887,106
1726616400,1726616520,186.8525,186.912,186.8525,186.912,92
1726616520,1726616640,186.9125,186.8655,186.865,186.9145,75
1726616640,1726616760,186.8645,186.89,186.8545,186.897,183
1726616760,1726616880,186.8905,186.881,186.8485,186.891,143
1726616880,1726617000,186.881,186.9305,186.8795,186.9335,68
1726617000,1726617120,186.93,186.9245,186.9225,186.96,67
1726617120,1726617240,186.9245,186.9495,186.921,186.9565,106
1726617240,1726617360,186.9495,186.964,186.938,186.977,113
1726617360,1726617480,186.964,186.9985,186.9565,187.033,154
1726617480,1726617600,186.9985,186.984,186.948,187.009,184
1726617600,1726617720,186.9825,186.8435,186.802,187.0165,498
1726617720,1726617840,186.844,186.8045,186.8045,186.8675,586
1726617840,1726617960,186.806,186.824,186.806,186.872,404
1726617960,1726618080,186.8245,186.738,186.723,186.8395,392
1726618080,1726618200,186.737,186.7385,186.725,186.7835,425
1726618200,1726618320,186.7395,186.7425,186.708,186.763,353
1726618320,1726618440,186.7435,186.7795,186.7335,186.826,396
1726618440,1726618560,186.78,186.734,186.728,186.7865,350
1726618560,1726618680,186.7325,186.724,186.7215,186.7445,260
1726618680,1726618800,186.721,186.807,186.681,186.807,297
1726618800,1726618920,186.81,186.8425,186.782,186.856,419
1726618920,1726619040,186.8415,186.796,186.784,186.8755,450
1726619040,1726619160,186.797,186.7655,186.756,186.7975,400
1726619160,1726619280,186.766,186.704,186.7015,186.772,290
1726619280,1726619400,186.7045,186.7685,186.701,186.783,366
1726619400,1726619520,186.768,186.7925,186.744,186.8045,399
1726619520,1726619640,186.786,186.7105,186.7035,186.803,439
1726619640,1726619760,186.71,186.6995,186.697,186.732,408
1726619760,1726619880,186.6985,186.6605,186.6575,186.706,293
1726619880,1726620000,186.66,186.688,186.658,186.712,310
1726620000,1726620120,186.6885,186.743,186.6625,186.762,429
1726620120,1726620240,186.7435,186.779,186.7265,186.7915,348
1726620240,1726620360,186.7785,186.7765,186.7215,186.78,345
1726620360,1726620480,186.7765,186.754,186.7385,186.8035,345
1726620480,1726620600,186.7535,186.7625,186.74,186.77,232
1726620600,1726620720,186.763,186.816,186.762,186.825,411
1726620720,1726620840,186.8185,186.5845,186.5785,186.8185,704
1726620840,1726620960,186.5835,186.5145,186.464,186.595,986
1726620960,1726621080,186.521,186.5325,186.4645,186.541,570
1726621080,1726621200,186.5315,186.5385,186.4895,186.573,418
1726621200,1726621320,186.5375,186.6195,186.47,186.6275,576
1726621320,1726621440,186.619,186.5515,186.5315,186.6255,421
1726621440,1726621560,186.551,186.5175,186.4855,186.5605,492
1726621560,1726621680,186.517,186.5835,186.503,186.5955,390
1726621680,1726621800,186.583,186.6105,186.5675,186.631,429
1726621800,1726621920,186.608,186.552,186.532,186.612,526
1726621920,1726622040,186.5505,186.5855,186.5305,186.6095,488
1726622040,1726622160,186.5835,186.6355,186.582,186.647,456
1726622160,1726622280,186.635,186.611,186.567,186.641,358
1726622280,1726622400,186.611,186.637,186.609,186.6485,248
1726622400,1726622520,186.636,186.5755,186.575,186.6445,328
